iter	Passed	Remaining
0	1	144
1	2	131
2	4	135
3	5	126
4	6	127
5	8	126
6	9	130
7	11	129
8	12	126
9	13	122
10	15	122
11	16	122
12	17	120
13	19	118
14	20	116
15	22	115
16	23	116
17	25	115
18	26	113
19	27	111
20	29	109
21	30	107
22	31	106
23	33	105
24	34	104
25	35	102
26	37	100
27	38	99
28	40	98
29	41	97
30	43	96
31	44	94
32	45	93
33	47	91
34	48	90
35	49	88
36	51	87
37	53	86
38	54	85
39	55	83
40	57	82
41	57	79
42	58	78
43	60	77
44	61	75
45	63	74
46	64	72
47	65	71
48	67	70
49	68	68
50	70	67
51	71	66
52	73	64
53	74	63
54	75	61
55	76	60
56	78	58
57	79	57
58	80	56
59	82	54
60	83	53
61	85	52
62	86	51
63	88	49
64	89	48
65	90	46
66	92	45
67	93	44
68	95	42
69	96	41
70	98	40
71	99	38
72	101	37
73	102	36
74	104	34
75	105	33
76	106	31
77	108	30
78	109	29
79	110	27
80	112	26
81	113	24
82	115	23
83	116	22
84	117	20
85	119	19
86	120	18
87	121	16
88	123	15
89	124	13
90	126	12
91	127	11
92	129	9
93	130	8
94	132	6
95	133	5
96	134	4
97	136	2
98	137	1
99	139	0
